Time,RA2,RA1,
-4.2000011e-06,3.60000e-02,3.36000e+00,
-4.1000012e-06,4.40000e-02,3.44000e+00,
-4.0000014e-06,3.19999e-02,3.44000e+00,
-3.9000015e-06,4.40000e-02,3.28000e+00,
-3.8000014e-06,4.40000e-02,3.36000e+00,
-3.7000013e-06,3.60000e-02,3.44000e+00,
-3.6000013e-06,4.40000e-02,3.36000e+00,
-3.5000012e-06,3.19999e-02,3.44000e+00,
-3.4000011e-06,4.40000e-02,3.36000e+00,
-3.3000010e-06,3.60000e-02,3.44000e+00,
-3.2000009e-06,3.60000e-02,3.36000e+00,
-3.1000009e-06,4.00000e-02,3.44000e+00,
-3.0000008e-06,3.19999e-02,3.36000e+00,
-2.9000007e-06,4.00000e-02,3.44000e+00,
-2.8000006e-06,3.60000e-02,3.44000e+00,
-2.7000006e-06,4.40000e-02,3.28000e+00,
-2.6000005e-06,3.19999e-02,3.36000e+00,
-2.5000004e-06,4.40000e-02,3.44000e+00,
-2.4000003e-06,3.60000e-02,3.44000e+00,
-2.3000002e-06,4.40000e-02,3.28000e+00,
-2.2000002e-06,3.19999e-02,3.28000e+00,
-2.1000001e-06,4.40000e-02,3.44000e+00,
-2.0000000e-06,3.60000e-02,3.28000e+00,
-1.9000000e-06,4.40000e-02,3.44000e+00,
-1.8000001e-06,4.00000e-02,3.28000e+00,
-1.7000001e-06,3.19999e-02,3.44000e+00,
-1.6000001e-06,3.60000e-02,3.28000e+00,
-1.5000002e-06,4.40000e-02,3.44000e+00,
-1.4000002e-06,3.60000e-02,3.44000e+00,
-1.3000002e-06,4.40000e-02,3.28000e+00,
-1.2000003e-06,3.60000e-02,3.44000e+00,
-1.1000003e-06,4.40000e-02,3.28000e+00,
-1.0000003e-06,4.40000e-02,3.44000e+00,
-9.0000032e-07,3.19999e-02,3.36000e+00,
-8.0000029e-07,3.60000e-02,3.28000e+00,
-7.0000027e-07,4.00000e-02,3.44000e+00,
-6.0000025e-07,3.19999e-02,3.44000e+00,
-5.0000023e-07,4.40000e-02,3.28000e+00,
-4.0000023e-07,4.40000e-02,3.44000e+00,
-3.0000024e-07,3.19999e-02,3.28000e+00,
-2.0000024e-07,4.00000e-02,3.44000e+00,
-1.0000024e-07,3.19999e-02,3.36000e+00,
-2.4158453e-13,2.44000e-01,3.44000e+00,
9.9999760e-08,-1.12000e-01,3.36000e+00,
1.9999976e-07,3.19999e-02,3.44000e+00,
2.9999975e-07,4.80000e-02,3.28000e+00,
3.9999975e-07,3.60000e-02,3.44000e+00,
4.9999977e-07,4.80000e-02,3.28000e+00,
5.9999979e-07,4.80000e-02,3.44000e+00,
6.9999982e-07,4.40000e-02,3.28000e+00,
7.9999984e-07,4.80000e-02,3.36000e+00,
8.9999986e-07,5.20000e-02,3.44000e+00,
9.9999988e-07,4.40000e-02,3.44000e+00,
1.0999998e-06,5.20000e-02,3.36000e+00,
1.1999998e-06,4.80000e-02,3.44000e+00,
1.2999998e-06,5.20000e-02,3.28000e+00,
1.3999997e-06,4.80000e-02,3.36000e+00,
1.4999997e-06,5.60000e-02,3.44000e+00,
1.5999997e-06,5.20000e-02,3.44000e+00,
1.6999996e-06,5.99999e-02,3.28000e+00,
1.7999996e-06,5.99999e-02,3.44000e+00,
1.8999996e-06,5.20000e-02,3.28000e+00,
1.9999995e-06,5.60000e-02,3.44000e+00,
2.0999996e-06,5.99999e-02,3.28000e+00,
2.1999997e-06,5.99999e-02,3.28000e+00,
2.2999998e-06,5.60000e-02,3.44000e+00,
2.3999999e-06,6.40000e-02,3.44000e+00,
2.4999999e-06,5.60000e-02,3.28000e+00,
2.6000000e-06,5.99999e-02,3.44000e+00,
2.7000001e-06,6.80000e-02,3.28000e+00,
2.8000002e-06,6.40000e-02,3.44000e+00,
2.9000003e-06,6.80000e-02,3.28000e+00,
3.0000003e-06,6.40000e-02,3.44000e+00,
3.1000004e-06,6.80000e-02,3.28000e+00,
3.2000005e-06,6.40000e-02,3.44000e+00,
3.3000006e-06,7.20000e-02,3.28000e+00,
3.4000007e-06,6.40000e-02,3.44000e+00,
3.5000007e-06,7.20000e-02,3.28000e+00,
3.6000008e-06,6.80000e-02,3.44000e+00,
3.7000009e-06,7.60000e-02,3.28000e+00,
3.8000010e-06,6.80000e-02,3.28000e+00,
3.9000010e-06,8.00000e-02,3.44000e+00,
4.0000009e-06,7.20000e-02,3.44000e+00,
4.1000008e-06,8.00000e-02,3.28000e+00,
4.2000006e-06,7.20000e-02,3.44000e+00,
4.3000005e-06,8.00000e-02,3.28000e+00,
4.4000003e-06,8.00000e-02,3.36000e+00,
4.5000002e-06,7.20000e-02,3.44000e+00,
4.6000000e-06,9.19999e-02,3.44000e+00,
4.6999999e-06,6.80000e-02,3.36000e+00,
4.7999997e-06,9.19999e-02,3.36000e+00,
4.8999996e-06,7.60000e-02,3.44000e+00,
4.9999994e-06,9.60000e-02,3.28000e+00,
5.0999993e-06,6.80000e-02,3.44000e+00,
5.1999991e-06,6.40000e-02,3.44000e+00,
5.2999990e-06,1.12000e-01,3.28000e+00,
5.3999988e-06,7.20000e-02,3.28000e+00,
5.4999987e-06,1.08000e-01,3.44000e+00,
5.5999985e-06,1.04000e-01,3.44000e+00,
5.6999984e-06,6.80000e-02,3.28000e+00,
5.7999982e-06,1.08000e-01,3.36000e+00,
5.8999981e-06,7.60000e-02,3.44000e+00,
5.9999979e-06,8.00000e-02,3.28000e+00,
6.0999978e-06,1.04000e-01,3.44000e+00,
6.1999976e-06,8.40000e-02,3.36000e+00,
6.2999975e-06,9.60000e-02,3.28000e+00,
6.3999973e-06,1.00000e-01,3.36000e+00,
6.4999972e-06,8.79999e-02,3.44000e+00,
6.5999971e-06,1.04000e-01,3.36000e+00,
6.6999969e-06,9.19999e-02,3.44000e+00,
6.7999968e-06,9.19999e-02,3.36000e+00,
6.8999966e-06,1.00000e-01,3.44000e+00,
6.9999965e-06,9.60000e-02,3.44000e+00,
7.0999963e-06,1.00000e-01,3.28000e+00,
7.1999962e-06,1.04000e-01,3.44000e+00,
7.2999960e-06,9.19999e-02,3.28000e+00,
7.3999959e-06,1.08000e-01,3.36000e+00,
7.4999957e-06,9.60000e-02,3.44000e+00,
7.5999956e-06,1.04000e-01,3.44000e+00,
7.6999959e-06,1.08000e-01,3.28000e+00,
7.7999957e-06,1.00000e-01,3.44000e+00,
7.8999956e-06,1.08000e-01,3.28000e+00,
7.9999954e-06,1.04000e-01,3.36000e+00,
8.0999953e-06,1.12000e-01,3.44000e+00,
8.1999951e-06,1.04000e-01,3.36000e+00,
8.2999950e-06,1.12000e-01,3.44000e+00,
8.3999948e-06,1.12000e-01,3.28000e+00,
8.4999947e-06,1.04000e-01,3.36000e+00,
8.5999945e-06,1.08000e-01,3.36000e+00,
8.6999944e-06,1.16000e-01,3.44000e+00,
8.7999942e-06,1.16000e-01,3.44000e+00,
8.8999941e-06,1.08000e-01,3.28000e+00,
8.9999940e-06,1.24000e-01,3.44000e+00,
9.0999938e-06,1.08000e-01,3.28000e+00,
9.1999937e-06,1.20000e-01,3.44000e+00,
9.2999935e-06,1.12000e-01,3.28000e+00,
9.3999934e-06,1.12000e-01,3.44000e+00,
9.4999932e-06,1.24000e-01,3.28000e+00,
9.5999931e-06,1.24000e-01,3.28000e+00,
9.6999929e-06,1.16000e-01,3.44000e+00,
9.7999928e-06,1.20000e-01,3.44000e+00,
9.8999926e-06,1.28000e-01,3.28000e+00,
9.9999925e-06,1.20000e-01,3.36000e+00,
1.0099992e-05,1.28000e-01,3.44000e+00,
1.0199992e-05,1.20000e-01,3.44000e+00,
1.0299992e-05,1.28000e-01,3.28000e+00,
1.0399992e-05,1.24000e-01,3.36000e+00,
1.0499992e-05,1.32000e-01,3.44000e+00,
1.0599992e-05,1.24000e-01,3.36000e+00,
1.0699991e-05,1.32000e-01,3.44000e+00,
1.0799991e-05,1.32000e-01,3.28000e+00,
1.0899991e-05,1.28000e-01,3.44000e+00,
1.0999991e-05,1.28000e-01,3.36000e+00,
1.1099991e-05,1.36000e-01,3.44000e+00,
1.1199991e-05,1.28000e-01,3.28000e+00,
1.1299991e-05,1.40000e-01,3.36000e+00,
1.1399990e-05,1.28000e-01,3.28000e+00,
1.1499990e-05,1.40000e-01,3.44000e+00,
1.1599990e-05,1.40000e-01,3.44000e+00,
1.1699990e-05,1.32000e-01,3.28000e+00,
1.1799990e-05,1.40000e-01,3.44000e+00,
1.1899990e-05,1.32000e-01,3.28000e+00,
1.1999990e-05,1.44000e-01,3.44000e+00,
1.2099989e-05,1.36000e-01,3.28000e+00,
1.2199989e-05,1.40000e-01,3.28000e+00,
1.2299989e-05,1.44000e-01,3.44000e+00,
1.2399989e-05,1.40000e-01,3.44000e+00,
1.2499989e-05,1.48000e-01,3.28000e+00,
1.2599989e-05,1.40000e-01,3.28000e+00,
1.2699988e-05,1.48000e-01,3.44000e+00,
1.2799988e-05,1.48000e-01,3.36000e+00,
1.2899988e-05,1.44000e-01,3.28000e+00,
1.2999988e-05,1.44000e-01,3.28000e+00,
1.3099988e-05,1.48000e-01,3.44000e+00,
1.3199988e-05,1.48000e-01,3.44000e+00,
1.3299988e-05,1.52000e-01,3.28000e+00,
1.3399987e-05,1.48000e-01,3.44000e+00,
1.3499987e-05,1.56000e-01,3.28000e+00,
1.3599987e-05,1.56000e-01,3.44000e+00,
1.3699987e-05,1.52000e-01,3.28000e+00,
1.3799987e-05,1.56000e-01,3.44000e+00,
1.3899987e-05,1.48000e-01,3.28000e+00,
1.3999987e-05,1.52000e-01,3.36000e+00,
1.4099986e-05,1.60000e-01,3.44000e+00,
1.4199986e-05,1.56000e-01,3.44000e+00,
1.4299986e-05,1.60000e-01,3.28000e+00,
1.4399986e-05,1.60000e-01,3.44000e+00,
1.4499986e-05,1.56000e-01,3.36000e+00,
1.4599986e-05,1.56000e-01,3.28000e+00,
1.4699986e-05,1.64000e-01,3.44000e+00,
1.4799985e-05,1.64000e-01,3.44000e+00,
1.4899985e-05,1.60000e-01,3.36000e+00,
1.4999985e-05,1.64000e-01,3.36000e+00,
1.5099985e-05,1.60000e-01,3.28000e+00,
1.5199985e-05,1.68000e-01,3.44000e+00,
1.5299986e-05,1.64000e-01,3.28000e+00,
1.5399986e-05,1.64000e-01,3.44000e+00,
1.5499987e-05,1.72000e-01,3.28000e+00,
