Time,RA2,RA1,
-6.4519998e-05,3.60000e-02,3.36000e+00,
-6.4499996e-05,3.60000e-02,3.36000e+00,
-6.4479995e-05,3.60000e-02,3.36000e+00,
-6.4459993e-05,3.60000e-02,3.36000e+00,
-6.4439992e-05,3.60000e-02,3.36000e+00,
-6.4419990e-05,3.60000e-02,3.36000e+00,
-6.4399988e-05,3.60000e-02,3.36000e+00,
-6.4379987e-05,3.60000e-02,3.36000e+00,
-6.4359985e-05,3.60000e-02,3.36000e+00,
-6.4339984e-05,3.60000e-02,3.36000e+00,
-6.4319982e-05,3.60000e-02,3.36000e+00,
-6.4299980e-05,3.60000e-02,3.36000e+00,
-6.4279979e-05,3.60000e-02,3.36000e+00,
-6.4259977e-05,3.60000e-02,3.36000e+00,
-6.4239975e-05,3.60000e-02,3.36000e+00,
-6.4219974e-05,3.60000e-02,3.36000e+00,
-6.4199972e-05,3.60000e-02,3.36000e+00,
-6.4179971e-05,3.60000e-02,3.36000e+00,
-6.4159969e-05,3.60000e-02,3.36000e+00,
-6.4139967e-05,3.60000e-02,3.36000e+00,
-6.4119966e-05,3.60000e-02,3.36000e+00,
-6.4099964e-05,3.60000e-02,3.36000e+00,
-6.4079963e-05,4.00000e-02,3.36000e+00,
-6.4059961e-05,4.00000e-02,3.36000e+00,
-6.4039959e-05,4.00000e-02,3.32000e+00,
-6.4019958e-05,4.40000e-02,3.36000e+00,
-6.3999956e-05,4.00000e-02,3.36000e+00,
-6.3979955e-05,3.60000e-02,3.36000e+00,
-6.3959953e-05,4.40000e-02,3.36000e+00,
-6.3939951e-05,4.40000e-02,3.36000e+00,
-6.3919950e-05,4.00000e-02,3.36000e+00,
-6.3899948e-05,3.60000e-02,3.36000e+00,
-6.3879947e-05,2.80000e-02,3.32000e+00,
-6.3859945e-05,2.40000e-02,3.32000e+00,
-6.3839943e-05,2.80000e-02,3.32000e+00,
-6.3819942e-05,3.60000e-02,3.36000e+00,
-6.3799940e-05,3.60000e-02,3.36000e+00,
-6.3779939e-05,4.40000e-02,3.36000e+00,
-6.3759937e-05,4.40000e-02,3.36000e+00,
-6.3739935e-05,4.40000e-02,3.36000e+00,
-6.3719934e-05,4.80000e-02,3.36000e+00,
-6.3699932e-05,4.40000e-02,3.36000e+00,
-6.3679930e-05,4.40000e-02,3.36000e+00,
-6.3659929e-05,4.40000e-02,3.32000e+00,
-6.3639927e-05,3.60000e-02,3.32000e+00,
