Time,RA2,RA1,
-1.2800001e-05,3.20000e-02,3.44000e+00,
-1.2700001e-05,4.40000e-02,3.28000e+00,
-1.2600001e-05,3.60000e-02,3.28000e+00,
-1.2500002e-05,4.40000e-02,3.44000e+00,
-1.2400002e-05,3.60000e-02,3.36000e+00,
-1.2300002e-05,4.40000e-02,3.44000e+00,
-1.2200002e-05,4.00000e-02,3.44000e+00,
-1.2100002e-05,4.40000e-02,3.28000e+00,
-1.2000002e-05,4.00000e-02,3.44000e+00,
-1.1900002e-05,3.20000e-02,3.36000e+00,
-1.1800003e-05,4.40000e-02,3.44000e+00,
-1.1700003e-05,3.20000e-02,3.36000e+00,
-1.1600003e-05,3.60000e-02,3.44000e+00,
-1.1500003e-05,4.00000e-02,3.36000e+00,
-1.1400003e-05,4.40000e-02,3.44000e+00,
-1.1300003e-05,3.20000e-02,3.36000e+00,
-1.1200003e-05,3.20000e-02,3.44000e+00,
-1.1100004e-05,4.40000e-02,3.36000e+00,
-1.1000004e-05,4.40000e-02,3.44000e+00,
-1.0900004e-05,3.20000e-02,3.28000e+00,
-1.0800004e-05,2.80000e-02,3.36000e+00,
-1.0700004e-05,5.20000e-02,3.44000e+00,
-1.0600004e-05,5.20000e-02,3.36000e+00,
-1.0500004e-05,2.40000e-02,3.36000e+00,
-1.0400005e-05,7.60000e-02,3.28000e+00,
-1.0300005e-05,-0.00000e+00,3.44000e+00,
-1.0200005e-05,1.60000e-02,3.36000e+00,
-1.0100005e-05,6.40000e-02,3.44000e+00,
-1.0000005e-05,1.20000e-02,3.28000e+00,
-9.9000054e-06,6.00000e-02,3.44000e+00,
-9.8000055e-06,2.40000e-02,3.44000e+00,
-9.7000056e-06,4.80000e-02,3.28000e+00,
-9.6000058e-06,5.60000e-02,3.44000e+00,
-9.5000059e-06,2.80000e-02,3.28000e+00,
-9.4000061e-06,5.20000e-02,3.44000e+00,
-9.3000062e-06,3.20000e-02,3.36000e+00,
-9.2000064e-06,2.80000e-02,3.44000e+00,
-9.1000065e-06,4.80000e-02,3.28000e+00,
-9.0000067e-06,2.80000e-02,3.44000e+00,
-8.9000068e-06,4.40000e-02,3.28000e+00,
-8.8000070e-06,4.40000e-02,3.44000e+00,
-8.7000071e-06,2.80000e-02,3.28000e+00,
-8.6000073e-06,4.40000e-02,3.44000e+00,
-8.5000074e-06,3.60000e-02,3.36000e+00,
-8.4000076e-06,3.60000e-02,3.36000e+00,
-8.3000077e-06,4.40000e-02,3.44000e+00,
-8.2000079e-06,3.20000e-02,3.44000e+00,
-8.1000080e-06,4.40000e-02,3.28000e+00,
-8.0000082e-06,3.60000e-02,3.44000e+00,
-7.9000083e-06,4.40000e-02,3.36000e+00,
-7.8000085e-06,4.00000e-02,3.44000e+00,
-7.7000086e-06,3.20000e-02,3.36000e+00,
-7.6000088e-06,4.40000e-02,3.44000e+00,
-7.5000089e-06,3.20000e-02,3.28000e+00,
-7.4000091e-06,4.40000e-02,3.44000e+00,
-7.3000092e-06,3.60000e-02,3.36000e+00,
-7.2000093e-06,3.60000e-02,3.44000e+00,
-7.1000095e-06,4.00000e-02,3.28000e+00,
-7.0000096e-06,4.40000e-02,3.36000e+00,
-6.9000098e-06,3.60000e-02,3.44000e+00,
-6.8000099e-06,4.00000e-02,3.44000e+00,
-6.7000101e-06,3.20000e-02,3.28000e+00,
-6.6000102e-06,3.60000e-02,3.44000e+00,
-6.5000104e-06,4.40000e-02,3.28000e+00,
-6.4000105e-06,4.00000e-02,3.28000e+00,
-6.3000107e-06,3.20000e-02,3.44000e+00,
-6.2000108e-06,4.00000e-02,3.44000e+00,
-6.1000110e-06,3.60000e-02,3.36000e+00,
-6.0000111e-06,3.60000e-02,3.44000e+00,
-5.9000113e-06,4.40000e-02,3.28000e+00,
-5.8000114e-06,3.20000e-02,3.44000e+00,
-5.7000116e-06,4.40000e-02,3.28000e+00,
-5.6000117e-06,3.60000e-02,3.36000e+00,
-5.5000119e-06,4.40000e-02,3.44000e+00,
-5.4000120e-06,3.60000e-02,3.44000e+00,
-5.3000122e-06,4.40000e-02,3.28000e+00,
-5.2000123e-06,3.20000e-02,3.44000e+00,
-5.1000125e-06,4.40000e-02,3.28000e+00,
-5.0000126e-06,4.00000e-02,3.44000e+00,
-4.9000128e-06,3.60000e-02,3.28000e+00,
-4.8000129e-06,4.00000e-02,3.36000e+00,
